Sr.,Category,Quantity,Rate,Amount,% Amount
233,PARTY WEAR,1,1459.51,1459.51,0.03
233,PARTY WEAR,1,1564.51,1564.51,0.04
234,PASHMINA,6,1208.00,7248.00,0.16
234,PASHMINA,2,1150.00,2300.00,0.05
235,PATOLA,1,788.00,788.00,0.02
235,PATOLA,2,1591.00,3182.00,0.07
235,PATOLA,1,1392.00,1392.00,0.03
235,PATOLA,2,1045.00,2090.00,0.05
235,PATOLA,3,771.74,2315.22,0.05
235,PATOLA,12,367.50,4410.00,0.10
237,PATOLA SILK,4,304.50,1218.00,0.03
239,PATOLA..,9,551.25,4961.25,0.11
239,PATOLA..,1,1418.00,1418.00,0.03
240,PATU,1,488.26,488.26,0.01
241,PESHWAI,1,635.25,635.25,0.01
241,PESHWAI,19,656.24,12468.56,0.28
241,PESHWAI,1,635.25,635.25,0.01
241,PESHWAI,4,2362.50,9450.00,0.21
241,PESHWAI,10,648.00,6480.00,0.15
242,PESHWAI BORDER,4,420.00,1680.00,0.04
243,PESHWAI.,3,2441.23,7323.69,0.17
243,PESHWAI.,4,2441.26,9765.04,0.22
244,PETHANI,1,1129.26,1129.26,0.03
245,PETHANI SILK,5,483.00,2415.00,0.05
245,PETHANI SILK,2,367.51,735.02,0.02
245,PETHANI SILK,2,368.00,736.00,0.02
245,PETHANI SILK,11,378.00,4158.00,0.09
245,PETHANI SILK,22,367.50,8085.00,0.18
245,PETHANI SILK,1,393.75,393.75,0.01
245,PETHANI SILK,14,367.51,5145.14,0.12
245,PETHANI SILK,1,372.75,372.75,0.01
245,PETHANI SILK,16,368.00,5888.00,0.13
Sr.,Category,Quantity,Rate,Amount,% Amount
245,PETHANI SILK,-1,1313.00,-1313.00,-0.03
247,PLAIN COTTON,3,314.18,942.54,0.02
248,PLAIN.,5,273.00,1365.00,0.03
248,PLAIN.,2,262.50,525.00,0.01
249,PRINTED,1,357.00,357.00,0.01
249,PRINTED,1,367.50,367.50,0.01
249,PRINTED,3,357.00,1071.00,0.02
